id,name,type,source,price,length_m,width_m,tonnage,build_year,engine_hours,engine_power_hp,engine_make,generator_kva,bow_thruster_hp,fuel_tank_liters,num_holds,hull_type,clearance_height_m,cargo_capacity_m3,double_hull,has_bow_thruster,engine_revision_year,certificate_valid,price_per_meter,price_per_ton,vessel_age,days_on_market,is_outlier,canonical_vessel_id
1ce1b9cd-bbe6-4367-9d2e-85e40330d02c,Navis,Motorvrachtschip,gsk,120000.0,45.0,5.0,454.0,1963.0,,330.0,Cummins,17.5,,,2.0,,4.3,,,,2018.0,True,2666.67,264.32,63.0,122,False,
1cfe9a7e-ae49-442a-b223-8e5c22827e29,Gibraltar,Tankschip,gtsschepen,5450000.0,109.96,11.44,2690.0,2020.0,5252.0,750.0,Volvo Penta,63.0,,,8.0,welded,5.6,3023.0,True,,,True,49563.48,2026.02,6.0,122,False,7af0668a-83ad-4ea6-9933-0fd45828fcbb
1d06644d-1849-420d-99f4-a8e0b550359e,Arese,,gsk,4995000.0,135.0,11.45,4406.0,2009.0,,,,,,,,,,,,,,,37000.0,1133.68,17.0,122,False,
1d70ab4f-fecb-41e3-9b97-adbed292d3ab,STADT KÖLN,Motorvrachtschip,rensendriessen,675000.0,99.84,11.0,,,,,,,,,,,,,,,,,6760.82,,,115,False,
1dd311c5-43c2-40ba-ae3e-e1683c0a9780,Ariël,,gsk,875000.0,79.96,9.5,1350.0,1964.0,,,,,,,,,,,,,,,10942.97,648.15,62.0,122,False,
1e447253-5a35-4f83-bc33-9a96ac81d227,Meander,Motorvrachtschip,gsk,,109.9,11.45,3233.51,2005.0,55000.0,1700.0,Caterpillar ,65.0,618.0,,1.0,welded,7.6,4000.0,True,True,,True,,,21.0,59,False,
1f2033d7-38dc-41fb-8ba2-4b1a27bc60e6,Hayley-Rose,Motorvrachtschip,pcshipbrokers,235000.0,62.0,6.63,731.0,1963.0,36700.0,,Caterpillar,22.0,320.0,6000.0,,riveted,5.4,1100.0,,True,,False,3790.32,321.48,63.0,122,False,
1f54f542-c75d-4191-b069-1b0436c3af85,Sjouwer & Sjouwer I,Koppelverband,pcshipbrokers,4995000.0,190.0,11.45,5985.0,2009.0,,,,,,,,,,,,,,,26289.47,834.59,17.0,122,False,
207b7dcc-5bc4-42c9-9585-5cfcbf97ecae,Alcor,Motorvrachtschip,gtsschepen,265000.0,63.0,7.04,625.0,1942.0,33228.0,600.0,Cummins,20.0,220.0,9000.0,2.0,mixed,5.8,1025.0,,True,,True,4206.35,424.0,84.0,122,False,d30e12d9-a527-4177-97ab-daeff944b45e
20d7e36d-4bb2-4843-b45e-854f84cced82,Retro,Motorvrachtschip,gsk,,80.16,8.22,1143.0,1958.0,,750.0,MWM,25.0,,,2.0,welded,4.7,1600.0,True,,1998.0,True,,,68.0,122,False,
20ded37a-7631-4661-9675-655f965ca0e4,Mission,Motorvrachtschip,rensendriessen,3800000.0,135.0,11.45,2700.0,2006.0,,1280.0,Caterpillar,,,,,,,,,,2021.0,,28148.15,1407.41,20.0,122,False,
2219245e-4f7e-4400-86f4-a0fe1f364b58,Octopussy,Motorvrachtschip,pcshipbrokers,1650000.0,105.0,9.5,2212.0,1981.0,,,,,,,,,,,,,,,15714.29,745.93,45.0,122,False,a5ef9e0e-5fc2-4b08-a8a7-df382806b0f8
222eddb8-fe17-4831-88d3-220c41205998,Maria,Duwbak,gtsschepen,295000.0,90.0,11.1,2021.0,1927.0,,,,,,,2.0,riveted,,3000.0,False,,,True,3277.78,145.97,99.0,122,False,
2238d782-07d8-46f5-8dc4-2ae435242071,Elly,Tankschip,gtsschepen,,25.42,5.01,104.0,1968.0,,165.0,DAF,,,,4.0,welded,4.25,107.0,False,,2014.0,True,,,58.0,122,False,
2266f022-6d33-4689-b5e1-2b82a91fd599,Falaise,Motorvrachtschip,pcshipbrokers,350000.0,73.0,8.2,1022.0,1962.0,,300.0,Scania,27.0,220.0,20000.0,,,5.25,1575.0,,True,,True,4794.52,342.47,64.0,122,False,
2291972d-d1a3-43cc-a918-65a085b12ee7,Emma Sophia,Motorvrachtschip,gtsschepen,,74.0,8.2,1115.0,1948.0,46000.0,1000.0,Mitsubishi,35.0,410.0,13000.0,1.0,welded,6.5,1350.0,False,True,2023.0,True,,,78.0,122,False,17fadef4-2b18-4c51-b8be-4db1ec353f4f
22a553ec-ed1f-4c77-b368-b65cad388fe1,Orion,Motorvrachtschip,pcshipbrokers,2195000.0,110.0,11.45,3215.0,1988.0,68000.0,1521.0,Caterpillar,65.0,380.0,53000.0,,welded,6.8,3700.0,,True,,True,19954.55,682.74,38.0,122,False,
22fef372-c4eb-434b-91c1-6429257e185c,Balance,Motorvrachtschip,gsk,,135.0,11.45,4005.0,2009.0,41954.0,1278.0,Mitsubishi,89.0,571.0,,1.0,welded,6.1,5200.0,,True,2021.0,True,,,17.0,122,False,
233d3e41-cca7-4db4-9c5c-707c6f2377cc,Figaro,Motorvrachtschip,gtsschepen,290000.0,67.0,8.2,920.0,1956.0,,367.0,Detroit Diesel,30.0,320.0,16000.0,3.0,welded,4.9,1400.0,False,True,2006.0,False,4328.36,315.22,70.0,122,False,
